x1,y1,z1,x2,y2,z2,width,height
216.50635094610968,250.0,124.99999999999999,1.5308084989341916e-14,500.0,250.0,7.0,7.0
1.5308084989341916e-14,250.0,250.0,-216.50635094610962,250.0,125.00000000000009,7.0,7.0
1.5308084989341916e-14,500.0,250.0,-216.50635094610962,500.0,125.00000000000009,7.0,7.0
1.5308084989341916e-14,250.0,250.0,1.5308084989341916e-14,500.0,250.0,7.0,7.0
1.5308084989341916e-14,250.0,250.0,-216.50635094610962,500.0,125.00000000000009,7.0,7.0
-216.50635094610962,250.0,125.00000000000009,-216.5063509461097,250.0,-124.99999999999993,7.0,7.0
-216.50635094610962,500.0,125.00000000000009,-216.5063509461097,500.0,-124.99999999999993,7.0,7.0
-216.50635094610962,250.0,125.00000000000009,-216.50635094610962,500.0,125.00000000000009,7.0,7.0
-216.50635094610962,250.0,125.00000000000009,-216.5063509461097,500.0,-124.99999999999993,7.0,7.0
-216.5063509461097,250.0,-124.99999999999993,-4.5924254968025744e-14,250.0,-250.0,7.0,7.0
-216.5063509461097,500.0,-124.99999999999993,-4.5924254968025744e-14,500.0,-250.0,7.0,7.0
-216.5063509461097,250.0,-124.99999999999993,-216.5063509461097,500.0,-124.99999999999993,7.0,7.0
-216.5063509461097,250.0,-124.99999999999993,-4.5924254968025744e-14,500.0,-250.0,7.0,7.0
-4.5924254968025744e-14,250.0,-250.0,216.5063509461096,250.0,-125.00000000000011,7.0,7.0
-4.5924254968025744e-14,500.0,-250.0,216.5063509461096,500.0,-125.00000000000011,7.0,7.0
-4.5924254968025744e-14,250.0,-250.0,-4.5924254968025744e-14,500.0,-250.0,7.0,7.0
-4.5924254968025744e-14,250.0,-250.0,216.5063509461096,500.0,-125.00000000000011,7.0,7.0
216.5063509461096,250.0,-125.00000000000011,216.50635094610968,250.0,124.99999999999999,7.0,7.0
216.5063509461096,500.0,-125.00000000000011,216.50635094610968,500.0,124.99999999999999,7.0,7.0
216.5063509461096,250.0,-125.00000000000011,216.5063509461096,500.0,-125.00000000000011,7.0,7.0
216.5063509461096,250.0,-125.00000000000011,216.50635094610968,500.0,124.99999999999999,7.0,7.0
216.50635094610968,500.0,124.99999999999999,1.5308084989341916e-14,500.0,250.0,7.0,7.0
216.50635094610968,750.0,124.99999999999999,1.5308084989341916e-14,750.0,250.0,7.0,7.0
216.50635094610968,500.0,124.99999999999999,216.50635094610968,750.0,124.99999999999999,7.0,7.0
216.50635094610968,500.0,124.99999999999999,1.5308084989341916e-14,750.0,250.0,7.0,7.0
1.5308084989341916e-14,500.0,250.0,-216.50635094610962,500.0,125.00000000000009,7.0,7.0
1.5308084989341916e-14,750.0,250.0,-216.50635094610962,750.0,125.00000000000009,7.0,7.0
1.5308084989341916e-14,500.0,250.0,1.5308084989341916e-14,750.0,250.0,7.0,7.0
1.5308084989341916e-14,500.0,250.0,-216.50635094610962,750.0,125.00000000000009,7.0,7.0
-216.50635094610962,500.0,125.00000000000009,-216.5063509461097,500.0,-124.99999999999993,7.0,7.0
-216.50635094610962,750.0,125.00000000000009,-216.5063509461097,750.0,-124.99999999999993,7.0,7.0
-216.50635094610962,500.0,125.00000000000009,-216.50635094610962,750.0,125.00000000000009,7.0,7.0
-216.50635094610962,500.0,125.00000000000009,-216.5063509461097,750.0,-124.99999999999993,7.0,7.0
-216.5063509461097,500.0,-124.99999999999993,-4.5924254968025744e-14,500.0,-250.0,7.0,7.0
-216.5063509461097,750.0,-124.99999999999993,-4.5924254968025744e-14,750.0,-250.0,7.0,7.0
-216.5063509461097,500.0,-124.99999999999993,-216.5063509461097,750.0,-124.99999999999993,7.0,7.0
-216.5063509461097,500.0,-124.99999999999993,-4.5924254968025744e-14,750.0,-250.0,7.0,7.0
-4.5924254968025744e-14,500.0,-250.0,216.5063509461096,500.0,-125.00000000000011,7.0,7.0
-4.5924254968025744e-14,750.0,-250.0,216.5063509461096,750.0,-125.00000000000011,7.0,7.0
-4.5924254968025744e-14,500.0,-250.0,-4.5924254968025744e-14,750.0,-250.0,7.0,7.0
-4.5924254968025744e-14,500.0,-250.0,216.5063509461096,750.0,-125.00000000000011,7.0,7.0
216.5063509461096,500.0,-125.00000000000011,216.50635094610968,500.0,124.99999999999999,7.0,7.0
216.5063509461096,750.0,-125.00000000000011,216.50635094610968,750.0,124.99999999999999,7.0,7.0
216.5063509461096,500.0,-125.00000000000011,216.5063509461096,750.0,-125.00000000000011,7.0,7.0
216.5063509461096,500.0,-125.00000000000011,216.50635094610968,750.0,124.99999999999999,7.0,7.0
